"Japanese"	"Furigana"	"English"
"デベロッパー"	"デベロッパー"	"Developer"
"開発者"	"かいはつしゃ"	"Developer"
"ウェブ開発者"	"ウェブかいはつしゃ"	"Web Developer"
"ウェブ・デベロッパー"	"ウェブ・デベロッパー"	"Web Developer"
"アプリ"	"アプリ"	"Application (Short for アプリケーション)"
"アプリケーション"	"アプリケーション"	"Application"
"プログラム"	"プログラム"	"Program"
"プログラミング"	"プログラミング"	"Programming"
"ソフト"	"ソフト"	"Software (Short for ソフトウェア)"
"ソフトウェア"	"ソフトウェア"	"Software"
"コンテンツマネージメントシステム"	"コンテンツマネージメントシステム"	"Content Management System"
"コンテンツ管理システム"	"コンテンツかんりシステム"	"Content Management System"
"拡張機能"	"かくちょうきのう"	"Extension/Addon/Extended Functionality"
"拡張モジュール"	"かくちょうモジュール"	"Extension Module"
"言語"	"げんご"	"Language (For example C言語)"
"型"	"かた、がた"	"Style/Type (For example C++型)"
"実行"	"じっこう"	"Execution"
"実行文"	"じっこうぶん"	"Executable Statement"
"実行時"	"じっこうじ"	"Execution Time/Run Time"
"実行時設定"	"じっこうじせってい"	"Execution/Run Time Settings"
"コード"	"コード"	"Code"
"ソース"	"ソース"	"Source"
"ソースコード"	"ソースコード"	"Source Code"
"モジュール"	"モジュール"	"Module"
"モジュール性"	"モジュールせい"	"Modularity"
"オブジェクト指向"	"オブジェクトしこう"	"Object Oriented"
"オブジェクト指向言語"	"オブジェクトしこうげんご"	"Object Oriented Language"
"オブジェクト指向プログラミング"	"オブジェクトしこうプログラミング"	"Object Oriented Programming"
"オブジェクト指向設計"	"オブジェクトしこうせっけい"	"Object Oriented Design"
"オブジェクト指向分析"	"オブジェクトしこうぶんせき"	"Object Oriented Analysis"
"手続き型プログラミング"	"てつづきがたプログラミング"	"Procedural Programming"
"枠組み"	"わくぐみ"	"Framework"
"パラダイム"	"パラダイム"	"Paradigm"
"空白"	"くうはく"	"White Space"
"余分な空白"	"よぶんなくうはく"	"Extra White Space"
"改行"	"かいぎょう"	"Newline (LF, CR, CRLF)"
"一行"	"いちぎょう、いっこう"	"Line"
"単一行"	"たんいちぎょう、たんいっこう"	"Single line"
"複数行"	"ふくすうぎょう"	"Multi-line"
"解析"	"かいせき"	"Parse/Parsing"
"パース"	"パース"	"Parse/Parsing"
"パーサ"	"パーサ"	"Parser"
"出力"	"しゅつりょく"	"Output"
"ファイル終端"	"ファイルしゅうたん"	"End of file"
"値"	"あたい、ね、ち"	"Value"
"見出し"	"みだし"	"Heading"
"大文字"	"おおもじ"	"Upper case letters"
"小文字"	"こもじ"	"Lower case letters"
"構造"	"こうぞう"	"Structure"
"データ構造"	"データこうぞう"	"Data Structure"
"初期化"	"しょきか"	"Initialisation (of objects etc)"
"宣言"	"せんげん"	"Declaration (of functions etc)"
"定義"	"ていぎ"	"Definition (of functions etc)"
"変換"	"へんかん"	"Conversion/Transformation"
"キーワード"	"キーワード"	"Keyword (like var, global etc)"
"バイナリ"	"バイナリ"	"Binary"
"既定値"	"きていち"	"Default Value"
