"Japanese"	"Furigana"	"Romaji"	"English"
"デベロッパー"	"デベロッパー"	"deberoppaa"	"Developer"
"開発者"	"かいはつしゃ"	"kaihatsusha"	"Developer"
"ウェブ開発者"	"ウェブかいはつしゃ"	"uebu kaihatsusha"	"Web Developer"
"ウェブ・デベロッパー"	"ウェブ・デベロッパー"	"uebu deberoppaa"	"Web Developer"
"アプリ"	"アプリ"	"apuri"	"Application (Short for アプリケーション)"
"アプリケーション"	"アプリケーション"	"apurikeeshon"	"Application"
"プログラム"	"プログラム"	"puroguramu"	"Program"
"プログラミング"	"プログラミング"	"puroguramingu"	"Programming"
"ソフト"	"ソフト"	"sofuto"	"Software (Short for ソフトウェア)"
"ソフトウェア"	"ソフトウェア"	"sofutouea"	"Software"
"コンテンツマネージメントシステム"	"コンテンツマネージメントシステム"	"kontentsu maneejimento shisutemu"	"Content Management System"
"コンテンツ管理システム"	"コンテンツかんりシステム"	"kontentsu kanri shisutemu"	"Content Management System"
"拡張機能"	"かくちょうきのう"	"kakuchoo kinoo"	"Extension/Addon/Extended Functionality"
"拡張モジュール"	"かくちょうモジュール"	"kakuchoo mojuuru"	"Extension Module"
"言語"	"げんご"	"gengo"	"Language (For example C言語)"
"型"	"かた、がた"	"kata, gata"	"Style/Type (For example C++型)"
"実行"	"じっこう"	"jikkoo"	"Execution"
"実行文"	"じっこうぶん"	"jikkoobun"	"Executable Statement"
"実行時"	"じっこうじ"	"jikkooji"	"Execution Time/Run Time"
"実行時設定"	"じっこうじせってい"	"jikkooji settei"	"Execution/Run Time Settings"
"コード"	"コード"	"koodo"	"Code"
"ソース"	"ソース"	"soosu"	"Source"
"ソースコード"	"ソースコード"	"soosu koodo"	"Source Code"
"モジュール"	"モジュール"	"mojuuru"	"Module"
"モジュール性"	"モジュールせい"	"mojuurusei"	"Modularity"
"オブジェクト指向"	"オブジェクトしこう"	"obujekkuto shikoo"	"Object Oriented"
"オブジェクト指向言語"	"オブジェクトしこうげんご"	"obujekkuto shikoo gengo"	"Object Oriented Language"
"オブジェクト指向プログラミング"	"オブジェクトしこうプログラミング"	"obujekkuto shikoo puroguramingu"	"Object Oriented Programming"
"オブジェクト指向設計"	"オブジェクトしこうせっけい"	"obujekkuto shikoo sekkei"	"Object Oriented Design"
"オブジェクト指向分析"	"オブジェクトしこうぶんせき"	"obujekkuto shikoo bunseki"	"Object Oriented Analysis"
"手続き型プログラミング"	"てつづきがたプログラミング"	"tetsuzuki gata puroguramingu"	"Procedural Programming"
"枠組み"	"わくぐみ"	"wakugumi"	"Framework"
"パラダイム"	"パラダイム"	"paradaimu"	"Paradigm"
"空白"	"くうはく"	"kuuhaku"	"White Space"
"余分な空白"	"よぶんなくうはく"	"yobunna kuuhaku"	"Extra White Space"
"改行"	"かいぎょう"	"kaigyoo"	"Newline (LF, CR, CRLF)"
"一行"	"いちぎょう、いっこう"	"ichigyoo, ikkoo"	"Line"
"単一行"	"たんいちぎょう、たんいっこう"	"tanichigyoo, tanikkoo"	"Single line"
"複数行"	"ふくすうぎょう"	"fukusuugyoo"	"Multi-line"
"解析"	"かいせき"	"kaiseki"	"Parse/Parsing"
"パース"	"パース"	"paasu"	"Parse/Parsing"
"パーサ"	"パーサ"	"paasa"	"Parser"
"出力"	"しゅつりょく"	"shutsuryoku"	"Output"
"ファイル終端"	"ファイルしゅうたん"	"fairu shuutan"	"End of file"
"値"	"あたい、ね、ち"	"atai, ne, chi"	"Value"
"見出し"	"みだし"	"midashi"	"Heading"
"大文字"	"おおもじ"	"oomoji"	"Upper case letters"
"小文字"	"こもじ"	"komoji"	"Lower case letters"
"構造"	"こうぞう"	"koozoo"	"Structure"
"データ構造"	"データこうぞう"	"deeta koozoo"	"Data Structure"
"初期化"	"しょきか"	"shokika"	"Initialisation (of objects etc)"
"宣言"	"せんげん"	"sengen"	"Declaration (of functions etc)"
"定義"	"ていぎ"	"teigi"	"Definition (of functions etc)"
"変換"	"へんかん"	"henkan"	"Conversion/Transformation"
"キーワード"	"キーワード"	"kiiwaado"	"Keyword (like var, global etc)"
"バイナリ"	"バイナリ"	"bainari"	"Binary"
"既定値"	"きていち"	"kiteichi"	"Default Value"
"シングルクォート"	"シングルクォート"	"shinguru kuooto"	"Single Quote"
"ダブルクォート"	"ダブルクォート"	"daburu kuooto"	"Double Quote"
"バッククォート"	"バッククォート"	"bakku kuooto"	"Backtick/Backquote"
"括弧"	"かっこ"	"kakko"	"Parenthesis → ()"
"波括弧"	"なみかっこ"	"namikakko"	"Curly braces"
"角括弧"	"かくかっこ"	"kakukakko"	"Square brackets"
"コードブロック"	"コードブロック"	"koodo burokku"	"Code Block"
"記述子"	"きじゅつし"	"kijutsushi"	"Descriptor"
"列挙"	"れっきょ"	"rekkyo"	"Enumeration"
"差分"	"さぶん"	"sabun"	"Diff"
"可変長"	"かへんちょう"	"kahenchoo"	"Variable Length"
"プロトコル"	"プロトコル"	"purotokoru"	"Protocol"
"ラッパー"	"ラッパー"	"rappaa"	"Wrapper"
"～への移行"	"～へのいこう"	"~e no ikoo"	"Fallback to ~"
"動的"	"どうてき"	"dooteki"	"Dynamic"
"起動"	"きどう"	"kidoo"	"Startup/Launch"
"起動時"	"きどうじ"	"kidooji"	"Startup/Launch Time"
"不正"	"ふせい"	"fusei"	"Invalid (Argument etc)"
"抽象化レイヤー"	"ちゅうしょうかレイヤー"	"chuushooka reiyaa"	"Abstract Layer"
"エンコード"	"エンコード"	"enkoodo"	"Encode"
"エンコーディング"	"エンコーディング"	"enkoodingu"	"Encoding"
"接続"	"せつぞく"	"setsuzoku"	"Connection"
"バージョン"	"バージョン"	"baajon"	"Version"
"リリース"	"リリース"	"ririisu"	"Release"
"修正"	"しゅうせい"	"shuusei"	"Fix (Bug Fix etc)"
"バグ"	"バグ"	"bagu"	"Bug"
"構文"	"こうぶん"	"koobun"	"Syntax"
"タグ"	"タグ"	"tagu"	"Tag"
"開始タグ"	"かいしタグ"	"kaishi tagu"	"Opening/Starting tag"
"終了タグ"	"しゅうりょうタグ"	"shuuryoo tagu"	"Closing/Ending tag"
"短い形式のタグ"	"みじかいけいしきのタグ"	"mijikai keishiki no tagu"	"Short tags"
"脱出"	"だっしゅつ"	"dasshutsu"	"Escape"
"命令"	"めいれい"	"meirei"	"Command/Instruction"
"ステートメント"	"ステートメント"	"suteetomento"	"Statement"
"コロン"	"コロン"	"koron"	"Colon"
"セミコロン"	"セミコロン"	"semikoron"	"Semicolon"
"アンダースコア"	"アンダースコア"	"andaasukoa"	"Underscore"
"コメント"	"コメント"	"komento"	"Comment"
"型"	"かた、がた"	"kata, gata"	"Types"
"抽象データ型"	"ちゅうしょうデータがた"	"chuushoo deeta gata"	"Abstract Data Type"
"型キャスト"	"かたキャスト、がたキャスト"	"katakyasuto, gatakyasuto"	"Type Cast"
"型の相互変換"	"かたのそうごへんかん"	"kata no soogo henkan"	"Type Juggling"
"型変換"	"かたへんかん"	"kata henkan"	"Type Conversion"
"スカラー型"	"スカラーがた"	"sukaraa gata"	"Scalar Types"
"論理値"	"ろんりち"	"ronrichi"	"Boolean value"
"論理型"	"ろんりがた"	"ronrigata"	"Boolean type"
"整数"	"せいすう"	"seisuu"	"Integer (This is a 数値型)"
"浮動小数点数"	"ふどうしょうすうてんすう"	"fudoo shoosuu tensuu"	"Floating Point Number"
"文字列"	"もじれつ"	"mojiretsu"	"String (May also be 文字配列)"
"真偽"	"しんぎ"	"shingi"	"True or False"
"真"	"しん"	"shin"	"True"
"偽"	"ぎ、にせ"	"nise"	"False"
"複合型"	"ふくごうがた"	"fugoogata"	"Compound Types"
"配列"	"はいれつ"	"hairetsu"	"Array"
"オブジェクト"	"オブジェクト"	"obujekkuto"	"Object"
"連想配列"	"れんそうはいれつ"	"rensoohairetsu"	"Associative Array"
"連想リスト"	"れんそうリスト"	"rennsoo risuto"	"Associative List"
"辞書"	"じしょ"	"jisho"	"Dictionary"
"ハッシュ"	"ハッシュ"	"hasshu"	"Hash"
"キー/値の組"	"キー/あたいのくみ"	"kii/atai no kumi"	"Key/Value Pair"
"一次元配列"	"いちじげんはいれつ"	"ichijigen hairetsu"	"One Dimensional Array"
"二次元配列"	"にじげんはいれつ"	"nijigen hairetsu"	"Two Dimensional Array"
"三次元配列"	"さんじげんはいれつ"	"sanjigen hairetsu"	"Three Dimensional Array"
"特別な型"	"とくべつながた"	"tokubetsu na gata"	"Special Types"
"リソース"	"リソース"	"risoosu"	"Resource"
"ヌル"	"ヌル"	"nuru"	"Null"
"擬似的な型"	"ぎじてきながた"	"gijiteki na gata"	"Pseudo Types"
"コールバック"	"コールバック"	"koorubakku"	"Callback"
"媒体型"	"ばいたいがた"	"baitaigata"	"Media Type"
"マイム型"	"マイムがた"	"maimugata"	"MIME Type"
"内容型"	"ないようがた"	"naiyoogata"	"Content Type"
"変数"	"へんすう"	"hensuu"	"Variable"
"定義済変数"	"ていぎずみへんすう"	"teigizumi hensuu"	"Predefined Variable"
"変数のスコープ"	"へんすうのスコープ"	"hensuu no sukoopu"	"Variable Scope"
"可変変数"	"かへんへんすう"	"kahen hensuu"	"Variable Variables"
"静的変数"	"せいてきへんすう"	"seiteki hensuu"	"Static Variable"
"外部変数"	"がいぶへんすう"	"gaibu hensuu"	"External Variable"
"共用変数"	"きょうようへんすう"	"kyooyoo hensuu"	"Shared Variable"
"環境変数"	"かんきょうへんすう"	"kankyoo hensuu"	"Environment Variable"
